Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Unit_Price,Discount,Total_Amount,Order_Status,Payment_Method
ORD04055,C0384,P093,2025-04-07,6,299.0,15,1524.9,Cancelled,UPI
ORD03956,C0070,P007,2024-12-06,4,54999.0,10,197996.4,Cancelled,Net Banking
ORD00066,C0334,P025,2024-11-24,9,2499.0,0,22491.0,Cancelled,UPI
ORD02520,C0421,P019,2024-08-15,8,73999.0,15,503193.2,Completed,Card
ORD00394,C0067,P002,2024-06-25,1,134999.0,5,128249.05,Pending,UPI
ORD00180,C0408,P001,2025-01-17,4,89999.0,10,323996.4,Cancelled,Card
ORD02687,C0023,P055,2025-01-14,10,299.0,0,2990.0,Completed,Net Banking
ORD01670,C0222,P088,2024-08-26,4,28999.0,0,115996.0,Pending,UPI
ORD00334,C0417,P077,2025-01-23,6,699.0,15,3564.9,Completed,UPI
ORD01210,C0372,P080,2025-03-20,7,299.0,0,2093.0,Pending,Card
ORD02650,C0037,P042,2025-02-24,4,9999.0,0,39996.0,Completed,UPI
ORD00927,C0262,P024,2024-09-12,5,2499.0,0,12495.0,Cancelled,Net Banking
ORD04096,C0443,P090,2024-03-10,1,799.0,5,759.05,Completed,UPI
ORD01150,C0028,P090,2024-07-28,9,799.0,0,7191.0,Completed,Net Banking
ORD00280,C0282,P049,2024-02-14,3,31999.0,10,86397.3,Completed,Card
ORD04161,C0068,P036,2025-02-23,4,22495.0,0,89980.0,Pending,Card
ORD03974,C0028,P063,2025-02-18,4,899.0,5,3416.2,Cancelled,UPI
ORD01984,C0479,P046,2025-04-08,9,999.0,0,8991.0,Completed,UPI
ORD04720,C0068,P086,2024-08-23,10,12999.0,25,97492.5,Cancelled,UPI
ORD04295,C0408,P074,2024-07-19,10,399.0,10,3591.0,Returned,Net Banking
ORD01048,C0138,P085,2024-09-27,5,34999.0,10,157495.5,Completed,UPI
ORD01469,C0272,P038,2024-01-23,3,1995.0,0,5985.0,Cancelled,Card
ORD00473,C0467,P046,2024-02-19,5,999.0,5,4745.25,Completed,Net Banking
ORD00034,C0460,P022,2025-05-19,3,12999.0,10,35097.3,Completed,Card
ORD01593,C0281,P050,2025-04-03,2,44900.0,30,62860.0,Completed,UPI
ORD02750,C0443,P014,2024-12-30,7,29990.0,30,146951.0,Completed,UPI
ORD02537,C0492,P016,2025-06-01,3,54999.0,5,156747.15,Completed,UPI
ORD00080,C0073,P021,2024-07-07,4,14999.0,25,44997.0,Pending,UPI
ORD02597,C0376,P060,2024-12-07,7,1295.0,10,8158.5,Completed,Card
ORD01534,C0053,P081,2025-04-27,4,12999.0,30,36397.2,Completed,Cash
ORD01175,C0299,P004,2024-04-08,4,24999.0,0,99996.0,Pending,Net Banking
ORD00298,C0435,P027,2025-02-28,7,2499.0,0,17493.0,Completed,Card
ORD00643,C0304,P034,2024-09-04,5,2499.0,10,11245.5,Returned,UPI
ORD02610,C0188,P007,2024-06-16,3,54999.0,20,131997.6,Completed,UPI
ORD01182,C0425,P033,2025-02-03,6,1299.0,0,7794.0,Cancelled,UPI
ORD03448,C0369,P009,2025-04-22,10,44999.0,20,359992.0,Completed,Card
ORD02472,C0185,P074,2024-07-19,1,399.0,30,279.3,Completed,Card
ORD03241,C0230,P035,2024-11-18,10,3499.0,15,29741.5,Completed,UPI
ORD04928,C0481,P058,2025-06-16,2,199.0,10,358.2,Pending,Card
ORD04889,C0348,P025,2025-06-11,3,2499.0,10,6747.3,Cancelled,Net Banking
ORD02146,C0053,P029,2025-05-31,2,1999.0,20,3198.4,Pending,UPI
ORD02551,C0147,P085,2025-02-12,4,34999.0,25,104997.0,Pending,Card
ORD01659,C0389,P085,2025-04-14,2,34999.0,10,62998.2,Completed,UPI
